path,model_short,model_name,task,seed,adapter_type,method,group_local_kind,group_local_delta,r,m,n,bd_row_factor,target_set,scaling_mode,grouping_mode,perm_seed,learning_rate,max_length,warmup_ratio,trainable_params,adapter_trainable_params,injection_adapter_params_total,eval_validation_score,eval_validation_matched_score,eval_validation_mismatched_score,task_score,train_time_s
wandb_stage2/wandb/offline-run-20260317_001550-nzilw9n1/run-nzilw9n1.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,sst2,2,full_ft,full_ft,,,16,,,,attn_mlp,rs,contiguous,,2e-05,128,0.05,4022473216,0,,0.9655963302752294,,,0.9655963302752294,4004.6773476600647
wandb_stage2/wandb/offline-run-20260317_001830-z2n7hus8/run-z2n7hus8.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,cola,2,group_local,group_local_equal_r16_m16,equal,,16,16,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,11276288,11272192,11272192,0.6303656919217502,,,0.6303656919217502,186.59160089492798
wandb_stage2/wandb/offline-run-20260317_002009-8y4964yd/run-8y4964yd.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,qqp,1,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,5120,0,,0.7997934166032706,,,0.7997934166032706,1722.2157926559448
wandb_stage2/wandb/offline-run-20260317_002236-e8ecksr6/run-e8ecksr6.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,qqp,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,5120,0,,0.8031950094560907,,,0.8031950094560907,1602.5872435569763
wandb_stage2/wandb/offline-run-20260317_002322-99yz6ujc/run-99yz6ujc.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,cola,2,bd_lora,bd_lora_r16_n4_rowblock_a,,,16,4,4,block_a,attn_mlp,rs,contiguous,,0.0001,128,0.05,16004096,15998976,15919111,0.654883573850459,,,0.654883573850459,420.18655467033386
wandb_stage2/wandb/offline-run-20260317_002640-s3zcmytq/run-s3zcmytq.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,cola,2,group_local,group_local_param_r16_m16_d0,param,0,16,16,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,11276288,11272192,11272192,0.6303656919217502,,,0.6303656919217502,171.75004935264587
wandb_stage2/wandb/offline-run-20260317_003244-pcgnwo4d/run-pcgnwo4d.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,2,vanilla_lora,vanilla_lora_r16,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,11276288,11272192,11272192,0.9610091743119266,,,0.9610091743119266,1133.08118891716
wandb_stage2/wandb/offline-run-20260317_003253-qe0oqvzr/run-qe0oqvzr.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,mrpc,2,full_ft,full_ft,,,16,,,,attn_mlp,rs,contiguous,,2e-05,128,0.05,1235818496,0,,0.8862883181441591,,,0.8862883181441591,77.80053663253784
wandb_stage2/wandb/offline-run-20260317_003337-uq9wra36/run-uq9wra36.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,stsb,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,2048,0,,0.29604103007365923,,,0.29604103007365923,17.22959280014038
wandb_stage2/wandb/offline-run-20260317_003441-usmo7tqb/run-usmo7tqb.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,cola,2,group_local,group_local_equal_r16_m16,equal,,16,16,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,33035264,33030144,32776211,0.6828179606796971,,,0.6828179606796971,457.3006365299225
wandb_stage2/wandb/offline-run-20260317_003729-yqt97qkn/run-yqt97qkn.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,mnli,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,6144,0,,,0.5420275089149261,0.5499389747762409,0.5459832418455834,963.5862896442413
wandb_stage2/wandb/offline-run-20260317_004014-datk3mmq/run-datk3mmq.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,qqp,2,full_ft,full_ft,,,16,,,,attn_mlp,rs,contiguous,,2e-05,128,0.05,1235818496,0,,0.897232122462814,,,0.897232122462814,7077.620987653732
wandb_stage2/wandb/offline-run-20260317_004721-b6hzpyqg/run-b6hzpyqg.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,cola,2,group_local,group_local_param_r16_m16_d0,param,0,16,16,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,33035264,33030144,32776211,0.6828179606796971,,,0.6828179606796971,449.22598695755005
wandb_stage2/wandb/offline-run-20260317_005523-7t1eo3bd/run-7t1eo3bd.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,stsb,1,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,2560,0,,0.5157583988774156,,,0.5157583988774156,41.81933236122131
wandb_stage2/wandb/offline-run-20260317_005529-g6sr2rob/run-g6sr2rob.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,stsb,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,2560,0,,0.4874079206073809,,,0.4874079206073809,81.1760184764862
wandb_stage2/wandb/offline-run-20260317_005643-ahpd14u9/run-ahpd14u9.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,sst2,2,bd_lora,bd_lora_r16_n4_rowblock_a,,,16,4,4,block_a,attn_mlp,rs,contiguous,,0.0001,128,0.05,5574656,5570560,5570560,0.9587155963302753,,,0.9587155963302753,1348.8876175880432
wandb_stage2/wandb/offline-run-20260317_005726-fmfgi1w6/run-fmfgi1w6.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,qnli,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.6985172981878089,,,0.6985172981878089,359.3275845050812
wandb_stage2/wandb/offline-run-20260317_010056-cghxa92u/run-cghxa92u.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,sst2,2,vanilla_lora,vanilla_lora_r16,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,33035264,33030144,32833555,0.9644495412844036,,,0.9644495412844036,2481.0288050174713
wandb_stage2/wandb/offline-run-20260317_010255-zoynmjib/run-zoynmjib.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,stsb,1,vanilla_lora,vanilla_lora_r16,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,11274240,11272192,11272192,0.905854746338489,,,0.905854746338489,99.97951698303223
wandb_stage2/wandb/offline-run-20260317_010306-zt5ah4mm/run-zt5ah4mm.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,mnli,1,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,7680,0,,,0.6805909322465614,0.6866354759967453,0.6836132041216534,1961.4121787548065
wandb_stage2/wandb/offline-run-20260317_010349-z51rd745/run-z51rd745.wandb,Qwen3-4B-Instruct-2507,/leonardo_work/EUHPC_D31_132/models/models--Qwen--Qwen3-4B-Instruct-2507/snapshots/cdbee75f17c01a7cc42f958dc650907174af0554,mnli,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,7680,0,,,0.6836474783494652,0.6815500406834825,0.6825987595164738,1862.2879874706268
wandb_stage2/wandb/offline-run-20260317_010851-m33bce73/run-m33bce73.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,rte,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.5595667870036101,,,0.5595667870036101,6.902328729629517
wandb_stage2/wandb/offline-run-20260317_010949-2vz9ill6/run-2vz9ill6.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,stsb,1,bd_lora,bd_lora_r16_n4_rowblock_a,,,16,4,4,block_a,attn_mlp,rs,contiguous,,0.0001,128,0.05,5572608,5570560,5570560,0.8890707905358282,,,0.8890707905358282,142.15645956993103
wandb_stage2/wandb/offline-run-20260317_011356-zb0ntxe9/run-zb0ntxe9.wandb,Llama-3.2-1B-Instruct,/leonardo_work/EUHPC_D31_132/models/models--meta-llama--Llama-3.2-1B-Instruct/snapshots/9213176726f574b556790deb65791e0c5aa438b6,wnli,2,head_only,head_only,,,16,,,,attn_mlp,rs,contiguous,,0.0001,128,0.05,4096,0,,0.6197183098591549,,,0.6197183098591549,22.897812128067017
